Date,Description,Debit,Credit,Balance
01-04-2025,OPENING BALANCE (b/f FY24-25),,,294200
02-04-2025,RENT APRIL,25000,,269200
30-04-2025,NEFT-CLIENT ABC,,60000,329200
30-04-2025,TRANSFER TO A/C XX2,20000,,309200
01-05-2025,VENDOR XYZ PURCHASE,18000,,291200
02-05-2025,NEFT-CLIENT ABC,,45000,336200
02-05-2025,NEFT-CLIENT PQR,,20000,356200
02-05-2025,RENT MAY,25000,,331200
31-05-2025,BANK CHARGES,236,,330964
31-05-2025,DEBIT CARD-SHOPPING,15000,,315964
02-06-2025,NEFT-CLIENT ABC,,50000,365964
02-06-2025,ELECTRICITY BOARD,3000,,362964
30-06-2025,SAVINGS INTEREST,,1200,364164
30-06-2025,SALARY PAYMENT,20000,,344164
